Age,Bonus,Department,Gender,ID,Location,Name,Performance_Score,Salary,Years_of_Experience
20,9555,HR,Male,109,Houston,Person_109,2.03,57663,27
54,3368,IT,Male,110,NY,Person_110,2.85,81991,2
52,1285,Sales,Female,111,LA,Person_111,4.47,87679,27
33,1148,HR,Male,112,Houston,Person_112,3.91,60977,27
22,5037,HR,Female,113,Chicago,Person_113,3.97,79115,15
20,7549,IT,Male,114,Houston,Person_114,2.7,90890,6
52,8121,HR,Female,115,Chicago,Person_1,2.38,39435,8
45,5895,HR,Female,116,Chicago,Person_116,2.48,48071,27
33,6280,Finance,Male,117,Houston,Person_117,4.95,89275,5
58,2012,Sales,Female,118,Chicago,Person_1,1.16,41938,16
46,3785,HR,Male,119,LA,Person_119,4.47,65195,26
52,4725,HR,Female,120,LA,Person_120,3.31,34000,18
34,5576,Marketing,Male,121,Chicago,Person_121,4.47,68304,27
34,6782,HR,Male,122,NY,Person_122,3.9,99449,5
45,7257,HR,Female,123,Chicago,Person_123,2.95,50764,28
32,3408,Finance,Male,124,LA,Person_124,4.49,68494,16
51,1340,Sales,Male,125,NY,Person_125,4.6,33373,13
58,6291,Marketing,Female,126,LA,Person_126,2.69,42161,28
51,6291,IT,Male,127,LA,Person_127,2.11,57350,5
23,6962,Marketing,Male,128,LA,Person_128,3.37,55351,13
49,6299,IT,Female,129,NY,Person_129,4.65,45305,17
52,8574,Sales,Male,130,NY,Person_130,1.84,95953,18
42,6291,HR,Male,131,Houston,Person_131,3.49,87458,8
58,4267,Finance,Male,132,NY,Person_132,3.53,50358,13
34,6291,Finance,Male,1,NY,Person_133,3.93,33267,29
52,9453,Finance,Female,1,NY,Person_134,1.53,68513,19
55,2442,Finance,Male,135,NY,Person_135,3.86,56092,26
32,6291,Marketing,Female,136,Chicago,Person_136,4.47,41338,3
51,5437,Sales,Male,137,Houston,Person_137,1.72,39435,27
26,6435,IT,Male,138,LA,Person_138,1.95,37543,8
41,9435,IT,Male,1,NY,Person_139,4.89,63496,2
52,5107,Finance,Male,140,Chicago,Person_140,1.72,90692,8
21,1560,Finance,Male,141,Chicago,Person_141,4.42,74425,27
25,6291,HR,Male,142,Chicago,Person_142,2.97,68756,27
47,6548,Sales,Male,143,LA,Person_143,1.99,48888,13
47,2826,Marketing,Female,144,NY,Person_144,4.48,65735,1
52,8629,HR,Female,145,Houston,Person_145,2.78,77295,27
49,9325,HR,Male,146,LA,Person_146,3.06,47955,24
30,4138,HR,Male,147,Chicago,Person_147,2.44,67841,19
47,8693,HR,Male,148,LA,Person_148,3.37,95510,16
44,9264,Marketing,Male,149,LA,Person_149,1.65,64911,8
58,8842,HR,Female,150,LA,Person_150,2.56,39435,28
52,7721,HR,Male,151,Houston,Person_151,4.88,37357,1
20,8002,Sales,Male,152,Chicago,Person_152,2.03,62479,27
46,6291,Marketing,Female,153,NY,Person_153,3.63,39435,27
52,3978,HR,Male,154,LA,Person_154,2.3,74811,16
22,8373,Marketing,Female,155,Chicago,Person_155,4.09,66208,9
58,6907,IT,Female,156,Chicago,Person_156,1.52,39435,13
25,7097,Finance,Male,157,NY,Person_157,4.88,73286,11
27,6656,HR,Male,158,NY,Person_158,2.82,98450,13
46,9984,Sales,Female,159,NY,Person_159,1.94,51352,25
28,5259,IT,Male,160,LA,Person_160,1.29,39435,27
56,9286,Marketing,Male,161,NY,Person_161,1.68,44397,10
52,6901,IT,Male,162,Chicago,Person_162,3.08,71555,4
43,5917,HR,Female,163,NY,Person_163,2.35,76959,27
34,9429,HR,Male,164,Chicago,Person_164,4.32,30728,6
51,3530,Finance,Female,165,Houston,Person_165,2.72,80517,28
51,2960,IT,Male,166,LA,Person_166,1.99,96234,7
43,8045,HR,Male,167,Houston,Person_167,3.47,69954,5
31,6291,Sales,Male,168,Houston,Person_168,4.47,77280,11
58,6772,Marketing,Female,169,Chicago,Person_169,1.67,46779,13
21,3529,IT,Male,170,Houston,Person_170,1.67,93932,26
22,3964,IT,Male,171,Chicago,Person_171,4.47,54466,25
52,8137,Finance,Female,172,NY,Person_1,3.95,66939,19
36,1963,Finance,Female,173,NY,Person_173,3.66,99896,23
21,1536,Sales,Male,174,Chicago,Person_1,2.9,65270,10
21,8340,Sales,Male,175,NY,Person_175,4.38,89163,10
47,8179,HR,Male,176,LA,Person_176,4.22,39435,11
42,8967,HR,Male,177,LA,Person_177,3.34,39435,21
56,6291,Sales,Female,178,LA,Person_178,4.47,39435,7
51,6291,Sales,Female,179,Houston,Person_179,4.47,84098,18
52,6777,Marketing,Female,180,LA,Person_180,1.45,90921,4
52,4036,Finance,Male,181,LA,Person_181,2.08,35486,2
38,6947,HR,Female,182,NY,Person_182,1.23,38335,27
21,3494,Finance,Male,183,Houston,Person_183,3.12,41130,13
45,3719,Finance,Male,184,Chicago,Person_1,4.75,90566,29
51,2884,Sales,Male,1,Chicago,Person_185,1.16,96703,12
25,5349,Marketing,Male,186,LA,Person_1,1.49,57192,7
51,6179,IT,Female,187,NY,Person_187,2.81,31062,2
23,7610,Marketing,Female,188,NY,Person_188,4.74,51545,13
30,7430,Marketing,Female,189,LA,Person_1,4.47,51689,14
36,8154,Finance,Female,190,Chicago,Person_190,3.03,41174,27
57,7488,Marketing,Male,191,Houston,Person_191,1.17,39435,17
43,5737,HR,Female,192,LA,Person_192,1.59,53714,9
24,7525,HR,Female,193,Houston,Person_193,4.95,68102,17
53,4850,HR,Female,194,Chicago,Person_1,4.86,36801,8
25,1689,IT,Male,195,NY,Person_195,1.02,78136,2
41,6175,Finance,Male,196,Chicago,Person_196,4.81,53625,28
30,9648,IT,Female,197,LA,Person_197,3.56,74261,24
35,6291,Finance,Male,1,NY,Person_198,4.47,31542,13
52,6448,Sales,Male,199,LA,Person_199,2.82,51677,3
28,2179,Marketing,Male,200,LA,Person_200,3.06,76732,16
25,7406,Sales,Male,201,Chicago,Person_201,2.96,80343,6
35,9591,IT,Male,202,LA,Person_202,3.67,69081,27
48,7907,Marketing,Male,203,Chicago,Person_203,1.56,92856,7
52,9800,Finance,Female,204,NY,Person_204,1.12,49065,10
39,2638,Marketing,Female,205,Chicago,Person_1,2.23,84693,9
55,6291,HR,Female,206,LA,Person_206,3.82,56962,27
38,7928,HR,Male,207,Chicago,Person_207,1.81,58295,28
45,2382,HR,Female,208,Houston,Person_208,3.69,43807,28
22,2403,Marketing,Female,209,Houston,Person_209,4.88,72348,15
38,4292,HR,Female,210,LA,Person_210,1.38,56432,27
39,1419,IT,Male,1,Chicago,Person_211,3.69,87854,29
52,5517,Sales,Male,212,Chicago,Person_212,2.78,70262,27
26,4302,HR,Male,213,LA,Person_213,4.47,67080,4
52,8857,Marketing,Female,1,LA,Person_214,1.71,31324,20
59,8870,Sales,Female,215,Chicago,Person_215,3.77,65909,4
58,6693,Finance,Female,216,LA,Person_216,4.47,49870,18
37,1767,HR,Male,217,LA,Person_1,4.78,64578,27
59,6291,HR,Male,218,Chicago,Person_218,3.73,56790,27
20,2549,IT,Female,219,Chicago,Person_219,2.99,55289,17
52,7140,IT,Male,220,LA,Person_220,3.47,39435,12
47,6291,Sales,Male,221,Chicago,Person_1,4.47,45485,22
44,5481,IT,Male,222,LA,Person_222,3.28,74482,17
42,8898,HR,Male,223,LA,Person_223,1.12,34748,27
52,7548,IT,Female,224,NY,Person_224,4.72,39435,22
49,3293,Sales,Male,1,LA,Person_225,3.76,33709,1
54,5837,IT,Male,226,Chicago,Person_226,3.71,60355,22
26,8758,Marketing,Male,1,Houston,Person_227,1.86,85771,26
35,7793,HR,Male,228,Chicago,Person_228,3.64,87799,27
45,8638,Sales,Female,1,Houston,Person_229,2.58,43116,27
21,8993,HR,Female,1,Houston,Person_230,3.6,55470,18
20,7007,HR,Male,231,NY,Person_231,1.43,72344,18
31,6542,HR,Male,232,LA,Person_232,3.63,72918,14
24,7356,Finance,Male,233,Chicago,Person_233,5,39435,15
56,6291,Finance,Male,1,NY,Person_1,1.19,69298,29
51,8380,HR,Male,235,Chicago,Person_235,4.91,91629,12
28,3385,Sales,Male,236,Houston,Person_236,2.63,96040,4
54,5268,Marketing,Female,237,LA,Person_237,4.48,58016,27
38,1671,Marketing,Male,238,Chicago,Person_238,4.13,53960,3
35,1163,HR,Female,239,Chicago,Person_239,3.27,63591,20
22,9656,Sales,Female,240,Houston,Person_240,4.47,97641,29
39,5592,Finance,Male,241,Chicago,Person_241,4.51,39435,12
43,5795,HR,Female,242,LA,Person_242,2.62,52700,7
52,5798,IT,Female,243,Houston,Person_243,2.31,64620,27
52,7036,Marketing,Female,244,NY,Person_244,4.47,50559,11
30,3355,Finance,Female,245,Houston,Person_245,4.23,91642,1
27,6887,Finance,Female,246,NY,Person_246,4.05,51732,6
55,6291,HR,Female,247,LA,Person_247,4.19,60354,15
57,6827,Marketing,Male,248,NY,Person_248,4.47,43843,15
52,9737,Sales,Female,249,NY,Person_249,4.27,47640,19
39,5719,Finance,Female,250,LA,Person_250,1.48,82528,11
54,1593,HR,Female,251,NY,Person_251,3.18,68413,26
44,5839,Sales,Male,252,LA,Person_252,1.02,82638,23
54,8394,Marketing,Female,1,NY,Person_253,2.3,82736,26
44,4493,Finance,Male,254,LA,Person_254,2.47,39435,2
48,7164,HR,Female,255,LA,Person_255,2.58,39435,14
37,3672,Sales,Male,256,LA,Person_256,4.47,71430,2
37,6291,Sales,Male,257,LA,Person_257,2.55,54504,29
21,1016,Finance,Female,258,Chicago,Person_258,2.79,37114,4
54,4191,Finance,Female,1,Chicago,Person_1,4.47,40975,17
35,1392,IT,Male,260,LA,Person_260,4.47,41023,3
55,9616,HR,Female,261,LA,Person_261,1.91,51447,27
52,7272,HR,Male,262,LA,Person_262,1.29,53959,27
23,1571,Sales,Male,1,Chicago,Person_263,3.41,96203,7
52,4631,IT,Male,264,Chicago,Person_264,3.67,59703,15
33,6291,HR,Male,265,NY,Person_265,3.48,39337,23
40,8177,IT,Male,266,NY,Person_266,2.85,76427,29
39,9433,Finance,Female,267,LA,Person_267,2.52,91529,29
27,4897,Sales,Male,268,Houston,Person_268,4.45,61921,11
26,9123,HR,Male,269,Houston,Person_269,4.47,39435,20
22,3279,HR,Female,270,Chicago,Person_270,2.92,57355,2
36,9980,HR,Male,271,Chicago,Person_271,1.1,34835,15
52,8451,HR,Female,272,Chicago,Person_272,2.36,50159,14
31,9906,HR,Female,273,LA,Person_1,2.52,77605,20
41,1775,IT,Female,274,Houston,Person_274,2.6,68088,22
41,7869,Sales,Male,1,NY,Person_1,3.32,85284,27
49,3247,Finance,Male,276,LA,Person_1,3.13,87043,27
57,8088,Finance,Male,1,NY,Person_1,4.47,65547,3
57,1078,Finance,Female,278,LA,Person_278,4.06,57532,17
27,9080,Finance,Male,1,LA,Person_279,4.25,39435,12
46,8099,IT,Female,280,NY,Person_280,3.87,75445,24
52,4926,Marketing,Male,281,LA,Person_281,4.82,35713,28
53,8340,Sales,Female,282,NY,Person_282,1.07,86178,29
40,6291,HR,Male,283,Houston,Person_283,1.78,79407,21
52,7230,Marketing,Male,284,Houston,Person_284,1.03,80990,15
52,5940,Finance,Male,285,Houston,Person_1,3.59,95545,16
47,4271,Marketing,Female,286,Chicago,Person_286,4.59,88141,5
52,4456,Sales,Female,287,NY,Person_287,1.97,53793,27
24,8788,HR,Male,288,LA,Person_288,4.71,86570,20
38,9599,HR,Male,289,LA,Person_289,1.24,67892,6
23,8650,Sales,Female,1,NY,Person_1,4.74,31015,19
54,3711,HR,Female,291,Chicago,Person_291,4.47,91813,25
36,2668,Finance,Female,292,Chicago,Person_292,1.41,39435,5
47,1147,HR,Male,293,Houston,Person_293,2.94,38415,3
49,7420,Marketing,Female,294,LA,Person_294,2.03,92292,27
48,1365,HR,Male,295,LA,Person_295,2.14,53833,1
25,5531,IT,Female,296,LA,Person_296,2.23,34158,26
54,6330,Sales,Male,297,NY,Person_297,4.21,92680,28
56,6510,Finance,Female,298,Chicago,Person_298,3.16,50309,6
43,9754,HR,Male,299,NY,Person_299,2.25,36970,15
48,9964,HR,Female,1,LA,Person_300,3.44,76540,2
